url;query;position;frequency of impressions;label
https://best-service.ru/;ремонт ноутбуков acer;1000;118;top-1000
https://best-service.ru/;срочный ремонт acer;1000;6;top-1000
https://best-service.ru/;сервис acer;77;13;top-100
https://best-service.ru/;сервисный центр acer;69;44;top-100
https://best-service.ru/;ремонт acer;68;39;top-100
https://best-service.ru/;ремонт стиральных машин aeg;1000;94;top-1000
https://best-service.ru/;ремонт холодильников aeg;16;78;top-30
https://best-service.ru/;ремонт стиральных машин aeg в москве;42;43;top-100
https://best-service.ru/;ремонт посудомоечных машин aeg;43;35;top-100
https://best-service.ru/;ремонт кофемашин aeg;1000;45;top-1000
